Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Reggie Jackson,DEN,DEN @ LAC,11/27/2023,W,40,35,15,19,78.9,3,4,75.0,2,4,50.0,1,4,5,13,2,0,2,3,25,64.5
Kentavious Caldwell-Pope,DEN,DEN @ LAC,11/27/2023,W,38,12,3,14,21.4,0,1,0.0,6,6,100,2,1,3,2,1,0,0,2,15,21.6
Michael Porter Jr.,DEN,DEN @ LAC,11/27/2023,W,29,8,3,13,23.1,2,7,28.6,0,0,-,3,7,10,3,0,0,1,5,4,23.5
Peyton Watson,DEN,DEN @ LAC,11/27/2023,W,24,8,4,7,57.1,0,0,-,0,2,0.0,0,3,3,1,2,1,1,0,2,21.1
Norman Powell,LAC,LAC vs. DEN,11/27/2023,L,21,10,2,8,25.0,1,5,20.0,5,5,100,1,1,2,1,1,1,0,3,-10,19.9
Russell Westbrook,LAC,LAC vs. DEN,11/27/2023,L,27,14,5,9,55.6,0,0,-,4,6,66.7,1,10,11,3,0,1,2,4,-11,32.7
DeAndre Jordan,DEN,DEN @ LAC,11/27/2023,W,34,21,8,11,72.7,0,0,-,5,11,45.5,3,10,13,5,2,1,2,3,17,51.1
James Harden,LAC,LAC vs. DEN,11/27/2023,L,36,11,3,7,42.9,3,5,60.0,2,2,100,0,2,2,4,1,0,3,3,6,19.4
Paul George,LAC,LAC vs. DEN,11/27/2023,L,37,6,2,13,15.4,0,4,0.0,2,2,100,3,5,8,4,1,1,3,5,-11,24.6
Terance Mann,LAC,LAC vs. DEN,11/27/2023,L,30,5,2,3,66.7,0,1,0.0,1,2,50.0,1,2,3,0,0,1,1,2,-11,10.6
Christian Braun,DEN,DEN @ LAC,11/27/2023,W,12,0,0,4,0.0,0,1,0.0,0,0,-,1,1,2,2,0,0,0,4,-19,5.4
Kawhi Leonard,LAC,LAC vs. DEN,11/27/2023,L,39,31,10,26,38.5,2,5,40.0,9,9,100,1,7,8,3,1,2,2,0,-5,52.1
Ben Sheppard,IND,IND vs. POR,11/27/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Jalen Smith,IND,IND vs. POR,11/27/2023,L,12,9,3,5,60.0,1,2,50.0,2,2,100,0,5,5,1,0,0,1,1,-8,15.5
Obi Toppin,IND,IND vs. POR,11/27/2023,L,19,9,3,9,33.3,1,4,25.0,2,2,100,2,2,4,2,0,1,1,0,0,18.8
Duop Reath,POR,POR @ IND,11/27/2023,W,10,4,1,1,100,1,1,100,1,2,50.0,0,2,2,1,0,0,1,1,1,6.9
T.J. McConnell,IND,IND vs. POR,11/27/2023,L,10,0,0,2,0.0,0,1,0.0,0,2,0.0,2,2,4,4,1,1,3,0,4,13.8
Paul Reed,PHI,PHI vs. LAL,11/27/2023,W,17,9,4,5,80.0,1,1,100,0,0,-,1,2,3,0,2,0,0,1,33,18.6
Patrick Beverley,PHI,PHI vs. LAL,11/27/2023,W,24,12,4,9,44.4,4,8,50.0,0,0,-,2,4,6,3,0,0,1,2,26,22.7
Jose Alvarado,NOP,NOP @ UTA,11/27/2023,L,14,4,2,3,66.7,0,0,-,0,0,-,0,1,1,2,0,0,0,2,3,8.2
Cody Zeller,NOP,NOP @ UTA,11/27/2023,L,9,1,0,0,-,0,0,-,1,2,50.0,0,1,1,2,0,0,0,2,0,5.2
Dyson Daniels,NOP,NOP @ UTA,11/27/2023,L,24,2,1,6,16.7,0,4,0.0,0,0,-,0,3,3,4,0,0,1,4,-6,10.6
Ochai Agbaji,UTA,UTA vs. NOP,11/27/2023,W,16,12,4,7,57.1,3,6,50.0,1,1,100,0,0,0,0,0,0,0,1,5,12.0
Collin Sexton,UTA,UTA vs. NOP,11/27/2023,W,18,11,4,9,44.4,3,6,50.0,0,0,-,1,1,2,0,2,0,4,2,6,15.4
Larry Nance Jr.,NOP,NOP @ UTA,11/27/2023,L,9,3,1,1,100,0,0,-,1,2,50.0,2,2,4,2,0,0,1,1,-5,9.8
Kelly Olynyk,UTA,UTA vs. NOP,11/27/2023,W,19,4,0,1,0.0,0,0,-,4,4,100,0,4,4,4,0,0,0,5,4,14.8
Talen Horton-Tucker,UTA,UTA vs. NOP,11/27/2023,W,19,5,2,9,22.2,0,3,0.0,1,1,100,0,3,3,7,0,0,0,2,0,19.1
Jordan Hawkins,NOP,NOP @ UTA,11/27/2023,L,25,13,5,11,45.5,3,6,50.0,0,0,-,1,4,5,0,0,0,0,1,-8,19.0
John Collins,UTA,UTA vs. NOP,11/27/2023,W,29,12,4,10,40.0,2,6,33.3,2,3,66.7,1,2,3,0,0,0,1,1,-2,14.6
Simone Fontecchio,UTA,UTA vs. NOP,11/27/2023,W,28,14,4,9,44.4,3,8,37.5,3,4,75.0,0,4,4,2,2,0,0,3,-1,27.8
Jonas Valanciunas,NOP,NOP @ UTA,11/27/2023,L,30,14,5,10,50.0,0,1,0.0,4,6,66.7,5,8,13,2,0,1,0,3,3,35.6
Herbert Jones,NOP,NOP @ UTA,11/27/2023,L,32,10,4,7,57.1,2,5,40.0,0,0,-,0,4,4,0,1,0,3,4,-10,14.8
Jordan Clarkson,UTA,UTA vs. NOP,11/27/2023,W,32,16,4,16,25.0,2,9,22.2,6,6,100,0,4,4,10,0,0,1,1,-3,34.8
Naji Marshall,NOP,NOP @ UTA,11/27/2023,L,28,14,6,12,50.0,1,3,33.3,1,2,50.0,2,7,9,3,3,0,1,3,6,37.3
Keyonte George,UTA,UTA vs. NOP,11/27/2023,W,31,19,6,14,42.9,3,8,37.5,4,6,66.7,1,4,5,3,2,0,2,0,-1,33.5
Zion Williamson,NOP,NOP @ UTA,11/27/2023,L,34,26,9,16,56.3,1,1,100,7,9,77.8,1,3,4,7,1,0,0,2,3,44.3
Brandon Ingram,NOP,NOP @ UTA,11/27/2023,L,35,25,11,22,50.0,0,2,0.0,3,4,75.0,0,4,4,5,0,0,2,3,4,35.3
Omer Yurtseven,UTA,UTA vs. NOP,11/27/2023,W,22,7,2,4,50.0,1,2,50.0,2,2,100,5,5,10,2,0,2,2,4,-1,26.0
Walker Kessler,UTA,UTA vs. NOP,11/27/2023,W,26,14,7,9,77.8,0,0,-,0,1,0.0,1,7,8,3,0,2,0,4,3,34.1
De'Anthony Melton,PHI,PHI vs. LAL,11/27/2023,W,25,9,3,6,50.0,3,6,50.0,0,0,-,0,0,0,2,1,0,0,2,11,15.0
Tobias Harris,PHI,PHI vs. LAL,11/27/2023,W,23,8,3,12,25.0,0,4,0.0,2,2,100,0,5,5,0,0,0,1,1,7,13.0
Joel Embiid,PHI,PHI vs. LAL,11/27/2023,W,31,30,9,15,60.0,2,3,66.7,10,12,83.3,4,7,11,11,1,1,3,2,11,62.7
D'Angelo Russell,LAL,LAL @ PHI,11/27/2023,L,24,12,5,10,50.0,1,2,50.0,1,2,50.0,0,2,2,7,0,0,0,0,-8,24.9
Anthony Davis,LAL,LAL @ PHI,11/27/2023,L,32,17,7,14,50.0,0,0,-,3,5,60.0,3,8,11,2,1,1,2,4,-13,37.2
Taurean Prince,LAL,LAL @ PHI,11/27/2023,L,29,11,4,8,50.0,3,6,50.0,0,0,-,0,4,4,1,0,0,1,3,-26,16.3
LeBron James,LAL,LAL @ PHI,11/27/2023,L,30,18,8,12,66.7,1,1,100,1,2,50.0,0,0,0,5,1,1,1,0,-30,30.5
Austin Reaves,LAL,LAL @ PHI,11/27/2023,L,29,12,4,10,40.0,1,4,25.0,3,3,100,0,2,2,2,0,0,3,2,-19,14.4
Max Christie,LAL,LAL @ PHI,11/27/2023,L,26,6,3,6,50.0,0,3,0.0,0,0,-,0,3,3,1,1,0,1,3,-16,13.1
Marcus Morris Sr.,PHI,PHI vs. LAL,11/27/2023,W,20,16,6,8,75.0,4,5,80.0,0,0,-,0,1,1,0,1,0,0,2,24,20.2
Tyrese Maxey,PHI,PHI vs. LAL,11/27/2023,W,36,31,9,20,45.0,5,12,41.7,8,9,88.9,0,3,3,8,1,0,0,2,25,49.6
Nicolas Batum,PHI,PHI vs. LAL,11/27/2023,W,29,10,4,7,57.1,2,3,66.7,0,0,-,3,4,7,4,3,0,0,3,30,33.4
Jabari Walker,POR,POR @ IND,11/27/2023,W,15,1,0,3,0.0,0,1,0.0,1,2,50.0,1,2,3,0,0,0,1,2,-4,3.6
Scoot Henderson,POR,POR @ IND,11/27/2023,W,22,13,4,10,40.0,2,3,66.7,3,6,50.0,1,2,3,1,1,0,4,5,10,17.1
Deni Avdija,WAS,WAS @ DET,11/27/2023,W,26,16,6,9,66.7,1,3,33.3,3,3,100,0,6,6,5,0,0,3,3,1,27.7
Daniel Gafford,WAS,WAS @ DET,11/27/2023,W,27,10,4,5,80.0,0,0,-,2,2,100,3,6,9,2,2,4,2,3,10,39.8
Isaiah Livers,DET,DET vs. WAS,11/27/2023,L,23,8,3,11,27.3,2,8,25.0,0,0,-,0,1,1,3,1,0,2,1,-26,14.7
James Wiseman,DET,DET vs. WAS,11/27/2023,L,9,8,3,4,75.0,0,0,-,2,4,50.0,3,1,4,0,0,0,1,0,-12,11.8
Marcus Sasser,DET,DET vs. WAS,11/27/2023,L,22,7,3,10,30.0,1,5,20.0,0,0,-,1,0,1,3,0,1,1,1,-15,14.7
Jalen Duren,DET,DET vs. WAS,11/27/2023,L,33,12,5,8,62.5,0,0,-,2,5,40.0,7,7,14,3,1,5,6,5,-4,45.3
Eugene Omoruyi,WAS,WAS @ DET,11/27/2023,W,2,3,1,3,33.3,1,1,100,0,0,-,2,0,2,0,0,0,0,0,0,5.4
Johnny Davis,WAS,WAS @ DET,11/27/2023,W,7,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,0,0,1,0,0,1.0
Kyle Kuzma,WAS,WAS @ DET,11/27/2023,W,35,32,10,23,43.5,2,7,28.6,10,11,90.9,0,12,12,8,0,0,1,0,18,57.4
Jared Butler,WAS,WAS @ DET,11/27/2023,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,0,1.2
Anthony Gill,WAS,WAS @ DET,11/27/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Landry Shamet,WAS,WAS @ DET,11/27/2023,W,22,12,4,7,57.1,2,3,66.7,2,2,100,0,2,2,4,2,1,1,2,8,28.4
Cade Cunningham,DET,DET vs. WAS,11/27/2023,L,32,26,10,22,45.5,2,7,28.6,4,4,100,1,4,5,7,1,0,1,2,-12,44.5
Ausar Thompson,DET,DET vs. WAS,11/27/2023,L,28,16,8,14,57.1,0,2,0.0,0,0,-,0,4,4,2,2,1,1,4,-3,31.8
Jaden Ivey,DET,DET vs. WAS,11/27/2023,L,33,15,6,12,50.0,2,3,66.7,1,2,50.0,2,5,7,7,1,1,3,3,2,36.9
Isaiah Stewart,DET,DET vs. WAS,11/27/2023,L,29,7,3,11,27.3,1,7,14.3,0,0,-,2,6,8,0,1,0,0,2,-2,19.6
Bilal Coulibaly,WAS,WAS @ DET,11/27/2023,W,28,5,2,6,33.3,0,2,0.0,1,1,100,0,4,4,0,2,1,2,1,19,16.8
Tyus Jones,WAS,WAS @ DET,11/27/2023,W,26,12,5,9,55.6,1,3,33.3,1,2,50.0,1,2,3,4,0,0,0,0,7,21.6
Stanley Umude,DET,DET vs. WAS,11/27/2023,L,2,0,0,1,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,1,2,-1,0.2
Danilo Gallinari,WAS,WAS @ DET,11/27/2023,W,19,16,5,8,62.5,3,6,50.0,3,3,100,0,2,2,2,0,0,1,2,9,20.4
Corey Kispert,WAS,WAS @ DET,11/27/2023,W,19,8,4,7,57.1,0,1,0.0,0,0,-,0,5,5,1,1,0,0,4,13,18.5
Alec Burks,DET,DET vs. WAS,11/27/2023,L,13,8,2,8,25.0,0,5,0.0,4,4,100,0,0,0,1,0,0,0,1,-12,9.5
Killian Hayes,DET,DET vs. WAS,11/27/2023,L,16,0,0,1,0.0,0,0,-,0,0,-,1,3,4,3,0,3,0,1,-10,18.3
Jordan Poole,WAS,WAS @ DET,11/27/2023,W,25,10,3,9,33.3,0,2,0.0,4,4,100,0,0,0,3,1,0,4,3,10,13.5
Toumani Camara,POR,POR @ IND,11/27/2023,W,17,5,1,3,33.3,1,2,50.0,2,2,100,2,0,2,0,0,0,0,2,0,7.4
Buddy Hield,IND,IND vs. POR,11/27/2023,L,24,9,3,10,30.0,1,6,16.7,2,2,100,0,1,1,3,1,1,2,1,4,18.7
Deandre Ayton,POR,POR @ IND,11/27/2023,W,38,22,9,13,69.2,0,0,-,4,4,100,3,10,13,1,1,0,4,1,3,38.1
Malcolm Brogdon,POR,POR @ IND,11/27/2023,W,36,24,9,20,45.0,1,3,33.3,5,6,83.3,0,2,2,7,0,0,1,1,-6,35.9
Shaedon Sharpe,POR,POR @ IND,11/27/2023,W,35,11,4,15,26.7,1,3,33.3,2,2,100,1,4,5,6,3,0,2,5,3,33.0
Matisse Thybulle,POR,POR @ IND,11/27/2023,W,29,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,1,1,1,2,3,10,6.7
Jerami Grant,POR,POR @ IND,11/27/2023,W,38,34,12,18,66.7,3,3,100,7,7,100,1,6,7,3,0,3,1,1,3,54.9
Bruce Brown,IND,IND vs. POR,11/27/2023,L,33,11,5,10,50.0,1,5,20.0,0,0,-,0,3,3,3,2,0,2,4,2,23.1
Aaron Nesmith,IND,IND vs. POR,11/27/2023,L,25,7,3,6,50.0,1,3,33.3,0,1,0.0,1,2,3,0,3,0,2,4,-6,17.6
Tyrese Haliburton,IND,IND vs. POR,11/27/2023,L,36,33,11,17,64.7,3,6,50.0,8,9,88.9,0,2,2,9,0,0,3,1,-3,45.9
Myles Turner,IND,IND vs. POR,11/27/2023,L,27,11,5,11,45.5,0,3,0.0,1,1,100,1,7,8,0,2,2,1,4,2,31.6
Andrew Nembhard,IND,IND vs. POR,11/27/2023,L,21,8,4,6,66.7,0,1,0.0,0,0,-,2,1,3,3,1,0,2,3,-4,17.1
Bennedict Mathurin,IND,IND vs. POR,11/27/2023,L,22,11,4,10,40.0,0,2,0.0,3,5,60.0,1,3,4,0,0,0,2,3,-9,13.8
Isaiah Jackson,IND,IND vs. POR,11/27/2023,L,10,2,1,2,50.0,0,0,-,0,0,-,1,4,5,1,0,1,1,3,1,11.5
Al Horford,BOS,BOS vs. ATL,11/26/2023,W,32,6,3,8,37.5,0,5,0.0,0,0,-,3,12,15,3,1,2,0,1,17,37.5
Jayson Tatum,BOS,BOS vs. ATL,11/26/2023,W,39,34,11,25,44.0,5,13,38.5,7,10,70.0,1,8,9,4,2,0,6,2,3,50.8
Bogdan Bogdanovic,ATL,ATL @ BOS,11/26/2023,L,32,23,8,12,66.7,7,10,70.0,0,0,-,1,6,7,0,1,0,4,3,-1,30.4
Dejounte Murray,ATL,ATL @ BOS,11/26/2023,L,34,6,2,13,15.4,0,6,0.0,2,2,100,2,2,4,3,0,0,3,1,-7,12.3
Karl-Anthony Towns,MIN,MIN @ MEM,11/26/2023,W,26,18,7,11,63.6,1,3,33.3,3,3,100,0,8,8,2,1,1,4,5,7,32.6
David Roddy,MEM,MEM vs. MIN,11/26/2023,L,28,11,4,9,44.4,2,5,40.0,1,1,100,2,2,4,2,0,0,1,2,-5,17.8
Bismack Biyombo,MEM,MEM vs. MIN,11/26/2023,L,30,10,2,3,66.7,0,0,-,6,10,60.0,2,3,5,3,1,0,1,1,-16,22.5
Anthony Edwards,MIN,MIN @ MEM,11/26/2023,W,34,24,8,14,57.1,1,4,25.0,7,7,100,0,5,5,7,0,1,2,3,23,41.5
Nickeil Alexander-Walker,MIN,MIN @ MEM,11/26/2023,W,34,9,3,7,42.9,2,6,33.3,1,3,33.3,0,1,1,3,1,0,1,2,17,16.7
Rudy Gobert,MIN,MIN @ MEM,11/26/2023,W,25,13,5,7,71.4,0,0,-,3,4,75.0,1,3,4,0,0,2,2,5,16,21.8
Mike Conley,MIN,MIN @ MEM,11/26/2023,W,32,18,6,11,54.5,6,9,66.7,0,0,-,0,4,4,10,1,0,2,1,8,38.8
Derrick Rose,MEM,MEM vs. MIN,11/26/2023,L,20,12,5,12,41.7,0,2,0.0,2,2,100,2,0,2,4,1,0,1,2,-3,22.4
Kyle Anderson,MIN,MIN @ MEM,11/26/2023,W,23,6,3,7,42.9,0,1,0.0,0,0,-,1,5,6,3,0,1,0,3,13,20.7
Santi Aldama,MEM,MEM vs. MIN,11/26/2023,L,27,14,6,15,40.0,1,7,14.3,1,2,50.0,2,5,7,2,0,0,1,0,-15,24.4
Jacob Gilyard,MEM,MEM vs. MIN,11/26/2023,L,16,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,1,0,0,0,0,-21,1.5
Max Strus,CLE,CLE vs. TOR,11/26/2023,W,37,20,8,16,50.0,4,9,44.4,0,0,-,1,10,11,5,0,1,2,4,-4,41.7
Darius Garland,CLE,CLE vs. TOR,11/26/2023,W,41,24,10,16,62.5,3,6,50.0,1,1,100,0,2,2,8,0,0,5,2,12,33.4
Gary Trent Jr.,TOR,TOR @ CLE,11/26/2023,L,26,13,5,13,38.5,1,7,14.3,2,2,100,0,1,1,0,1,0,1,0,10,16.2
Malachi Flynn,TOR,TOR @ CLE,11/26/2023,L,17,3,1,6,16.7,1,4,25.0,0,0,-,0,4,4,0,0,0,1,1,-13,6.8
Dennis Schroder,TOR,TOR @ CLE,11/26/2023,L,29,15,5,11,45.5,2,5,40.0,3,3,100,0,2,2,4,2,0,1,5,10,28.4
Scottie Barnes,TOR,TOR @ CLE,11/26/2023,L,33,15,5,14,35.7,1,4,25.0,4,5,80.0,1,7,8,3,1,1,2,1,-20,33.1
OG Anunoby,TOR,TOR @ CLE,11/26/2023,L,34,11,4,12,33.3,2,5,40.0,1,3,33.3,5,2,7,1,0,1,1,1,11,22.9
Onyeka Okongwu,ATL,ATL @ BOS,11/26/2023,L,27,4,2,2,100,0,0,-,0,0,-,0,3,3,0,2,1,0,2,-2,16.6
De'Andre Hunter,ATL,ATL @ BOS,11/26/2023,L,40,24,7,14,50.0,5,11,45.5,5,5,100,0,4,4,2,1,1,2,4,-11,35.8
Trae Young,ATL,ATL @ BOS,11/26/2023,L,37,33,12,27,44.4,6,16,37.5,3,6,50.0,1,4,5,7,0,0,5,3,-11,44.5
Dalano Banton,BOS,BOS vs. ATL,11/26/2023,W,19,8,3,5,60.0,0,1,0.0,2,2,100,2,3,5,1,0,0,1,4,-4,14.5
Saddiq Bey,ATL,ATL @ BOS,11/26/2023,L,29,7,3,7,42.9,1,5,20.0,0,0,-,3,5,8,1,0,0,0,3,-16,18.1
Neemias Queta,BOS,BOS vs. ATL,11/26/2023,W,15,7,3,8,37.5,0,0,-,1,1,100,6,4,10,0,1,0,0,0,5,22.0
AJ Griffin,ATL,ATL @ BOS,11/26/2023,L,12,0,0,5,0.0,0,3,0.0,0,0,-,0,4,4,1,0,0,0,0,7,6.3
Payton Pritchard,BOS,BOS vs. ATL,11/26/2023,W,20,6,2,6,33.3,2,6,33.3,0,0,-,0,2,2,0,0,0,0,0,-10,8.4
Clint Capela,ATL,ATL @ BOS,11/26/2023,L,21,4,1,5,20.0,0,0,-,2,6,33.3,4,4,8,1,1,2,1,0,-8,23.1
Luke Kornet,BOS,BOS vs. ATL,11/26/2023,W,9,4,2,2,100,0,0,-,0,0,-,1,1,2,0,1,1,0,1,-6,12.4
Wesley Matthews,ATL,ATL @ BOS,11/26/2023,L,8,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,0,0,0,0,1,-1,2.0
Naz Reid,MIN,MIN @ MEM,11/26/2023,W,22,12,4,9,44.4,1,2,50.0,3,4,75.0,2,4,6,0,1,0,1,4,4,21.2
Shaquille Harrison,MEM,MEM vs. MIN,11/26/2023,L,2,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,1,0,0,-3,6.2
Kenneth Lofton Jr.,MEM,MEM vs. MIN,11/26/2023,L,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,2.0
Vince Williams Jr.,MEM,MEM vs. MIN,11/26/2023,L,10,0,0,2,0.0,0,2,0.0,0,0,-,1,2,3,1,1,0,0,1,-11,8.1
John Konchar,MEM,MEM vs. MIN,11/26/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Jaylen Nowell,MEM,MEM vs. MIN,11/26/2023,L,13,4,2,4,50.0,0,1,0.0,0,0,-,1,4,5,3,0,0,0,1,5,14.5
Josh Minott,MIN,MIN @ MEM,11/26/2023,W,2,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,3,2.0
Leonard Miller,MIN,MIN @ MEM,11/26/2023,W,2,2,1,1,100,0,0,-,0,0,-,0,2,2,1,0,0,0,0,3,5.9
Daishen Nix,MIN,MIN @ MEM,11/26/2023,W,2,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,0,3,3.0
Shake Milton,MIN,MIN @ MEM,11/26/2023,W,19,6,2,6,33.3,1,3,33.3,1,2,50.0,0,2,2,3,1,0,1,2,8,14.9
Troy Brown Jr.,MIN,MIN @ MEM,11/26/2023,W,18,6,2,4,50.0,2,4,50.0,0,0,-,2,2,4,1,0,0,1,1,5,11.3
Ziaire Williams,MEM,MEM vs. MIN,11/26/2023,L,18,11,4,8,50.0,2,3,66.7,1,2,50.0,0,2,2,1,0,0,2,5,-9,12.9
Jaren Jackson Jr.,MEM,MEM vs. MIN,11/26/2023,L,37,18,4,14,28.6,2,6,33.3,8,10,80.0,0,4,4,3,1,3,2,3,-9,37.3
Desmond Bane,MEM,MEM vs. MIN,11/26/2023,L,34,13,5,16,31.3,3,9,33.3,0,0,-,1,1,2,4,0,0,5,3,-17,16.4
Pascal Siakam,TOR,TOR @ CLE,11/26/2023,L,38,18,7,17,41.2,0,4,0.0,4,6,66.7,4,4,8,6,1,1,4,0,6,38.6
Jakob Poeltl,TOR,TOR @ CLE,11/26/2023,L,35,18,8,9,88.9,0,0,-,2,2,100,4,9,13,2,2,0,1,3,9,41.6
Thanasis Antetokounmpo,MIL,MIL vs. POR,11/26/2023,W,4,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,-2,2.4
Pat Connaughton,MIL,MIL vs. POR,11/26/2023,W,20,5,2,4,50.0,1,2,50.0,0,0,-,2,2,4,1,1,0,2,1,4,12.3
Malcolm Brogdon,POR,POR @ MIL,11/26/2023,L,34,18,7,23,30.4,2,6,33.3,2,3,66.7,2,6,8,12,2,1,2,4,-6,52.6
Deandre Ayton,POR,POR @ MIL,11/26/2023,L,32,14,5,6,83.3,0,0,-,4,6,66.7,4,9,13,2,1,2,0,3,-13,41.6
Shaedon Sharpe,POR,POR @ MIL,11/26/2023,L,37,17,7,19,36.8,1,5,20.0,2,3,66.7,1,5,6,3,2,0,3,0,-19,31.7
Jabari Walker,POR,POR @ MIL,11/26/2023,L,16,4,2,3,66.7,0,1,0.0,0,0,-,0,3,3,0,0,0,1,4,6,6.6
AJ Green,MIL,MIL vs. POR,11/26/2023,W,4,0,0,2,0.0,0,2,0.0,0,0,-,1,0,1,0,0,0,0,1,-9,1.2
Toumani Camara,POR,POR @ MIL,11/26/2023,L,17,6,2,3,66.7,2,2,100,0,0,-,2,1,3,0,0,0,2,4,-3,7.6
Andre Jackson Jr.,MIL,MIL vs. POR,11/26/2023,W,12,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-11,1.2
Duop Reath,POR,POR @ MIL,11/26/2023,L,12,3,1,5,20.0,1,4,25.0,0,0,-,0,0,0,0,2,0,1,2,7,8.0
Brook Lopez,MIL,MIL vs. POR,11/26/2023,W,31,10,4,11,36.4,2,6,33.3,0,0,-,1,5,6,3,3,4,0,3,3,42.7
Giannis Antetokounmpo,MIL,MIL vs. POR,11/26/2023,W,39,33,11,21,52.4,0,1,0.0,11,18,61.1,6,10,16,6,1,3,4,5,9,69.2
Jerami Grant,POR,POR @ MIL,11/26/2023,L,39,22,7,18,38.9,3,6,50.0,5,6,83.3,1,1,2,2,4,0,4,3,-8,35.4
Cameron Payne,MIL,MIL vs. POR,11/26/2023,W,17,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,3,1,0,3,2,3,9.9
Bobby Portis,MIL,MIL vs. POR,11/26/2023,W,31,12,5,12,41.7,2,5,40.0,0,0,-,6,2,8,1,2,3,2,3,3,36.1
Malik Beasley,MIL,MIL vs. POR,11/26/2023,W,36,14,5,14,35.7,4,11,36.4,0,0,-,1,5,6,0,3,0,2,1,16,28.2
Matisse Thybulle,POR,POR @ MIL,11/26/2023,L,26,5,1,4,25.0,1,4,25.0,2,2,100,0,1,1,1,4,1,2,1,4,20.7
MarJon Beauchamp,MIL,MIL vs. POR,11/26/2023,W,9,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,1,1,2,-1,4.7
Scoot Henderson,POR,POR @ MIL,11/26/2023,L,27,13,5,10,50.0,3,4,75.0,0,0,-,1,3,4,1,0,0,2,5,2,17.3
Jevon Carter,CHI,CHI @ BKN,11/26/2023,L,8,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,1,0,-17,-1.0
Cameron Johnson,BKN,BKN vs. CHI,11/26/2023,W,22,10,4,8,50.0,2,5,40.0,0,0,-,2,2,4,6,0,0,0,2,-1,23.8
Lonnie Walker IV,BKN,BKN vs. CHI,11/26/2023,W,25,20,6,13,46.2,6,10,60.0,2,2,100,0,1,1,0,2,0,2,1,23,25.2
Armoni Brooks,BKN,BKN vs. CHI,11/26/2023,W,4,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,1,-2,1.2
Andre Drummond,CHI,CHI @ BKN,11/26/2023,L,11,4,1,2,50.0,0,0,-,2,3,66.7,2,3,5,0,1,0,2,3,-11,11.0
Torrey Craig,CHI,CHI @ BKN,11/26/2023,L,20,4,1,2,50.0,0,0,-,2,2,100,2,1,3,0,0,0,2,0,-25,5.6
Ayo Dosunmu,CHI,CHI @ BKN,11/26/2023,L,14,5,2,3,66.7,0,1,0.0,1,2,50.0,1,1,2,2,0,0,1,2,-21,9.4
Day'Ron Sharpe,BKN,BKN vs. CHI,11/26/2023,W,27,9,4,7,57.1,0,2,0.0,1,2,50.0,3,6,9,3,0,1,1,4,31,26.3
Royce O'Neale,BKN,BKN vs. CHI,11/26/2023,W,36,20,7,11,63.6,6,10,60.0,0,0,-,0,9,9,4,1,0,1,2,11,38.8
Reggie Jackson,DEN,DEN vs. SAS,11/26/2023,W,28,20,7,10,70.0,3,3,100,3,3,100,2,5,7,6,1,0,4,5,15,36.4
Mikal Bridges,BKN,BKN vs. CHI,11/26/2023,W,36,15,5,7,71.4,4,6,66.7,1,2,50.0,0,2,2,6,0,0,2,0,-7,24.4
Trendon Watford,BKN,BKN vs. CHI,11/26/2023,W,17,11,5,8,62.5,1,2,50.0,0,1,0.0,1,3,4,2,1,0,0,2,-2,21.8
Spencer Dinwiddie,BKN,BKN vs. CHI,11/26/2023,W,38,24,7,17,41.2,3,9,33.3,7,8,87.5,2,3,5,7,1,0,2,4,9,41.5
Dorian Finney-Smith,BKN,BKN vs. CHI,11/26/2023,W,34,9,3,10,30.0,3,7,42.9,0,0,-,0,4,4,1,2,1,1,3,-17,23.3
Nikola Vucevic,CHI,CHI @ BKN,11/26/2023,L,37,6,3,9,33.3,0,3,0.0,0,0,-,1,8,9,5,1,1,2,5,2,28.3
Zach LaVine,CHI,CHI @ BKN,11/26/2023,L,39,20,8,18,44.4,1,5,20.0,3,4,75.0,0,6,6,4,0,0,0,1,1,33.2
